Date,Close,Ret(%)
2025-07-28,3209.52,0.42
2025-07-29,3230.57,0.66
2025-07-30,3254.47,0.74
2025-07-31,3245.44,-0.28
2025-08-01,3119.41,-3.88
2025-08-04,3147.75,0.91
2025-08-05,3198.0,1.6
2025-08-06,3198.14,0.0
2025-08-07,3227.68,0.92
2025-08-08,3210.01,-0.55
2025-08-11,3206.77,-0.1
2025-08-12,3189.91,-0.53
2025-08-13,3224.37,1.08
2025-08-14,3225.66,0.04
2025-08-18,3177.28,-1.5
2025-08-19,3151.56,-0.81
2025-08-20,3130.09,-0.68
2025-08-21,3141.74,0.37
2025-08-22,3168.73,0.86
2025-08-25,3209.86,1.3
2025-08-26,3179.36,-0.95
2025-08-27,3187.16,0.25
2025-08-28,3196.32,0.29
2025-08-29,3186.01,-0.32
2025-09-01,3142.93,-1.35
2025-09-02,3172.35,0.94
2025-09-03,3184.42,0.38
2025-09-04,3200.83,0.52
2025-09-05,3205.12,0.13
2025-09-08,3219.59,0.45
2025-09-09,3260.05,1.26
2025-09-10,3314.53,1.67
2025-09-11,3344.2,0.9
2025-09-12,3395.54,1.54
2025-09-15,3407.31,0.35
2025-09-16,3449.62,1.24
2025-09-17,3413.4,-1.05
2025-09-18,3461.3,1.4
2025-09-19,3445.24,-0.46
2025-09-22,3468.65,0.68
2025-09-23,3486.19,0.51
2025-09-24,3472.14,-0.4
2025-09-25,3471.11,-0.03
2025-09-26,3386.05,-2.45
2025-09-29,3431.21,1.33
2025-09-30,3424.6,-0.19
2025-10-01,3455.83,0.91
2025-10-02,3549.21,2.7
2025-10-10,3610.6,1.73
2025-10-13,3584.55,-0.72
2025-10-14,3561.81,-0.63
2025-10-15,3657.28,2.68
2025-10-16,3748.37,2.49
2025-10-17,3748.89,0.01
2025-10-20,3814.69,1.76
2025-10-21,3823.84,0.24
2025-10-22,3883.68,1.56
2025-10-23,3845.56,-0.98
2025-10-24,3941.59,2.5
2025-10-27,4042.83,2.57
2025-10-28,4010.41,-0.8
2025-10-29,4081.15,1.76
2025-10-30,4086.89,0.14
2025-10-31,4107.5,0.5
2025-11-03,4221.87,2.78
2025-11-04,4121.74,-2.37
2025-11-05,4004.42,-2.85
2025-11-06,4026.45,0.55
2025-11-07,3953.76,-1.81
2025-11-10,4073.24,3.02
2025-11-11,4106.39,0.81
2025-11-12,4150.39,1.07
2025-11-13,4170.63,0.49
2025-11-14,4011.57,-3.81
2025-11-17,4089.25,1.94
2025-11-18,3953.62,-3.32
2025-11-19,3929.51,-0.61
2025-11-20,4004.85,1.92
2025-11-21,3853.26,-3.79
2025-11-24,3846.06,-0.19
2025-11-25,3857.78,0.3
2025-11-26,3960.87,2.67
2025-11-27,3986.91,0.66
2025-11-28,3926.59,-1.51
2025-12-01,3920.37,-0.16
2025-12-02,3994.93,1.9
2025-12-03,4036.3,1.04
2025-12-04,4028.51,-0.19
2025-12-05,4100.05,1.78
2025-12-08,4154.85,1.34
2025-12-09,4143.55,-0.27
2025-12-10,4135.0,-0.21
2025-12-11,4110.62,-0.59
2025-12-12,4167.16,1.38
2025-12-15,4090.59,-1.84
2025-12-16,3999.13,-2.24
2025-12-17,4056.41,1.43
2025-12-18,3994.51,-1.53
2025-12-19,4020.55,0.65
2025-12-22,4105.93,2.12
2025-12-23,4117.32,0.28
2025-12-24,4108.62,-0.21
2025-12-26,4129.68,0.51
2025-12-29,4220.56,2.2
2025-12-30,4214.17,-0.15
